TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.fasterxml.jackson.core.JsonLocation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9868421052631579,287,285
com.fasterxml.jackson.core.JsonProcessingException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9144813519813519,144,128
com.fasterxml.jackson.core.JsonGenerationException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,18,18
com.fasterxml.jackson.core.io.SegmentedStringWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9444444444444444,129,125
com.fasterxml.jackson.core.io.SerializedString,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9474676132564132,595,549
com.fasterxml.jackson.core.io.InputDecorator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.25,15,0
com.fasterxml.jackson.core.io.CharacterEscapes,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5541666666666667,23,7
com.fasterxml.jackson.core.io.IOContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9425675675675675,311,300
com.fasterxml.jackson.core.io.CharTypes,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8264689726591382,278,197
com.fasterxml.jackson.core.io.UTF8Writer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7518486253849739,979,774
com.fasterxml.jackson.core.io.BaseReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8332070707070707,109,101
com.fasterxml.jackson.core.io.OutputDecorator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.25,11,0
com.fasterxml.jackson.core.io.MergedStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9624453087019932,423,412
com.fasterxml.jackson.core.io.NumberOutput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9075928494738222,1150,1085
com.fasterxml.jackson.core.io.UTF32Reader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9218335543766578,778,655
com.fasterxml.jackson.core.io.NumberInput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8379644612405109,1233,1016
com.fasterxml.jackson.core.io.JsonStringEncoder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6932184338972364,1032,599
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.930235303462573,996,874
com.fasterxml.jackson.core.sym.NameN,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9533333333333334,101,97
com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7640681617743167,1549,1105
com.fasterxml.jackson.core.sym.Name3,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,98,96
com.fasterxml.jackson.core.sym.Name1,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.984375,106,105
com.fasterxml.jackson.core.sym.Name2,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9791666666666666,113,112
com.fasterxml.jackson.core.sym.Name,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,54,54
com.fasterxml.jackson.core.util.JsonGeneratorDelegate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8895559454575037,710,605
com.fasterxml.jackson.core.util.VersionUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7052638650508833,551,341
com.fasterxml.jackson.core.util.ByteArrayBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9594929467506595,706,686
com.fasterxml.jackson.core.util.InternCache,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8328125,42,34
com.fasterxml.jackson.core.util.JsonParserSequence,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9419642857142857,199,189
com.fasterxml.jackson.core.util.TextBuffer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.914605446441743,1357,1261
com.fasterxml.jackson.core.util.DefaultPrettyPrinter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9369877049180328,608,607
com.fasterxml.jackson.core.util.JsonParserDelegate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8831853369763206,645,470
com.fasterxml.jackson.core.util.BufferRecycler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9057886557886559,146,133
